name;address;clean_price;cuisine_type;tags;source
Café les deux gares;1 Rue des Deux Gares, 75010 Paris, France;€€€;['Meilleur bistrot Guide 2021'];"['""CUISINE DAUTEUR""', 'NÉOBISTROT', 'CAFÉ']";lefooding
Round;25 Rue Louis Blanc, 75010 Paris, France;€;['LÈCHE-DOIGTS', 'BURGERS'];['OUVERT LE DIMANCHE', 'OUVERT LE LUNDI', 'ANTIDÉPRESSEUR', 'TAKE-AWAY', 'MANGER SEUL', 'ACCESSIBILITÉ'];lefooding
Mâche;61 rue de Chabrol, 75010 Paris;€€€€;"['""CUISINE DAUTEUR""', 'NÉOBISTROT']";['ANTIDÉPRESSEUR', '13 À TABLE', 'ACCESSIBILITÉ', 'RÉSA EXPRESS', 'RÉSERVATION VIA ZENCHEF'];lefooding
Il camino;43 Rue des Petites Écuries, 75010 Paris, France;€€€€;['Feeling'];['NÉOBISTROT', 'ITALIEN'];lefooding
Tanguy;15 Rue de l'Échiquier, 75010 Paris, France;€€;['CRÊPERIE'];['OUVERT LE DIMANCHE', 'TAKE-AWAY', 'MANGER SEUL', 'KID-FRIENDLY', 'ACCESSIBILITÉ', 'RÉSA EXPRESS', 'RÉSERVATION VIA ZENCHEF'];lefooding
Comer;96 Rue d'Hauteville, 75010 Paris, France;€€;['LÈCHE-DOIGTS', 'MEXICAIN'];['ANTIDÉPRESSEUR', 'TAKE-AWAY', 'RÉSA EXPRESS', 'RÉSERVATION VIA ZENCHEF'];lefooding
Dante;14 Rue de Paradis, 75010 Paris, France;€€€;['Feeling'];"['""CUISINE DAUTEUR""', 'NÉOBISTROT']";lefooding
Sur mer;53 Rue de Lancry, 75010 Paris, France;€€€;['POISSONS ET FRUITS DE MER', 'CHEFFES DE BANDE'];['OUVERT LE DIMANCHE', 'OUVERT LE LUNDI', 'ANTIDÉPRESSEUR', 'TERRASSE', 'TAKE-AWAY'];lefooding
Urfa dürüm 2;10 Rue du Faubourg Saint-Denis, 75010 Paris, France;€;['VIANDES / GRILLADES', 'LÈCHE-DOIGTS', 'KURDE'];['OUVERT LE DIMANCHE', 'OUVERT LE LUNDI', 'ANTIDÉPRESSEUR', 'TERRASSE', 'TAKE-AWAY', 'FAIM DE NUIT', 'MANGER SEUL'];lefooding
Plan d - dwich & glace;22 Rue des Vinaigriers, 75010 Paris, France;€;['LÈCHE-DOIGTS', 'SANDWICHS / BAGELS', 'GLACES', 'VÉGI'];['OUVERT LE DIMANCHE', 'ANTIDÉPRESSEUR', 'TERRASSE', 'TAKE-AWAY'];lefooding
Sapid;54 Rue de Paradis, Paris, France;€€;['NÉOBISTROT', 'BIOCOOL', 'MÉDITERRANÉEN', 'VÉGI'];['ANTIDÉPRESSEUR', 'TAKE-AWAY', 'MANGER SEUL', 'RÉSA EXPRESS', 'RÉSERVATION VIA ZENCHEF'];lefooding
Early june;19 Rue Jean Poulmarch, 75010 Paris, France;€€;['Feeling'];['BAR À VINS / CAVE À MANGER', 'POP-UP / RÉSIDENCE'];lefooding
Le petit cambodge;20 Rue Alibert, 75010 Paris, France;€€;['CAMBODGIEN', 'ASIATIQUE'];['OUVERT LE DIMANCHE', 'OUVERT LE LUNDI', 'TERRASSE', 'TAKE-AWAY', 'FAIM DE NUIT', 'ACCESSIBILITÉ'];lefooding
Eels;27 Rue d'Hauteville, 75010 Paris, France;€€€€;['Meilleur sophistroquet Guide 2018'];"['""CUISINE DAUTEUR""', 'NÉOBISTROT']";lefooding
Les résistants - la table;7 rue de la Fidélité, 75010, Paris;€€-€€€;['Cuisine moderne'];['Cuisine moderne'];michelin
Habile.;16 rue de Lancry, 75010, Paris;€€-€€€;['Cuisine moderne'];['Cuisine moderne'];michelin
To;34 rue Beaurepaire, 75010, Paris;€€€-€€€€;['Cuisine moderne'];['Cuisine moderne'];michelin
Pouliche;11 rue d'Enghien, 75010, Paris;€€-€€€;['Cuisine moderne'];['Cuisine moderne'];michelin
Mamagoto;5 rue des Petits-Hôtels, 75010, Paris;€€-€€€;['Cuisine moderne'];['Cuisine moderne'];michelin
52 faubourg st-denis;52 rue du Faubourg-Saint-Denis, 75010, Paris;€€-€€€;['Cuisine moderne'];['Cuisine moderne'];michelin
Les résistants;16 rue du Château-d'Eau, 75010, Paris;€€-€€€;['Cuisine moderne'];['Cuisine moderne'];michelin
Bonhomme;58 rue du Faubourg-Poissonnière, 75010, Paris;€€-€€€;['Cuisine moderne'];['Cuisine moderne'];michelin
Bloom garden;Bloom House, 23 rue du Château-Landon, 75010, Paris;€€€-€€€€;['Cuisine moderne', 'Cuisine créative'];['Cuisine moderne', 'Cuisine créative'];michelin
Nonos par paul pairet;Le Crillon, 10 place de la Concorde, 75008, Paris;€€€-€€€€;['Cuisine moderne'];['Cuisine moderne'];michelin
Le paris-brest by christian le squer;Gare de Rennes, 35000, Rennes;€€-€€€;['Cuisine moderne'];['Cuisine moderne'];michelin
Le faham by kelly rangama;108 rue Cardinet, 75017, Paris;€€€-€€€€;['Cuisine moderne'];['Cuisine moderne'];michelin
Abri soba;10 rue Saulnier, 75009, Paris;€€-€€€;['Cuisine japonaise'];['Cuisine japonaise'];michelin
L'écrin;Hôtel de Crillon, 10 place de la Concorde, 75008, Paris;€€€€€;['Cuisine créative'];['Cuisine créative'];michelin
Loulou;107 rue Rivoli, 75001, Paris;€€€-€€€€;['Cuisine italienne'];['Cuisine italienne'];michelin
Auberge pyrénées cévennes;106 rue de la Folie-Méricourt, 75011, Paris;€€-€€€;['Cuisine traditionnelle'];['Cuisine traditionnelle'];michelin
La régalade saint-honoré;106 rue Saint-Honoré, 75001, Paris;€€-€€€;['Cuisine traditionnelle'];['Cuisine traditionnelle'];michelin
Le bistrot flaubert;10 rue Gustave Flaubert, 75017, Paris;€€€-€€€€;['Cuisine moderne'];['Cuisine moderne'];michelin
Le bon saint-pourçain;10 bis rue Servandoni, 75006, Paris;€€€-€€€€;['Cuisine moderne'];['Cuisine moderne'];michelin
Lao lane xang 2;102 avenue d'Ivry, 75013, Paris;€-€€;['Cuisine sud-est asiatique'];['Cuisine sud-est asiatique'];michelin
Shang palace;Shangri-La, 10 avenue d'Iéna, 75116, Paris;€€€€€;['Cuisine chinoise'];['Cuisine chinoise'];michelin
Kei collection paris;49F, Toranomon Hills Station Tower, 2-6-2 Toranomon, Minato-ku, 105-5549, Tokyo;€€€-€€€€;['Cuisine française', 'Cuisine actuelle'];['Cuisine française', 'Cuisine actuelle'];michelin
Paris 1930 de hideki takayama;2F, The Landis, 41, Section 2, Minquan East Road, Zhongshan District, 10470, Taipei;€€€€€;['Cuisine française contemporaine'];['Cuisine française contemporaine'];michelin
Bistrot de paris;Rua Augusta 2542, 01412-100, São Paulo;€€-€€€;['Cuisine française'];['Cuisine française'];michelin
Le salzgries paris;Marc-Aurel-Straße 6, 1010, Vienne;€€-€€€;['Cuisine française classique'];['Cuisine française classique'];michelin
